lc_uri,snac_ark
http://id.loc.gov/authorities/names/nr2005015226,http://n2t.net/ark:/99166/w6br9bgb
http://id.loc.gov/authorities/names/n93078459,http://n2t.net/ark:/99166/w65q650z
http://id.loc.gov/authorities/names/n84024572,http://n2t.net/ark:/99166/w69w11bv
http://id.loc.gov/authorities/names/n50000955,http://n2t.net/ark:/99166/w6km1r17
http://id.loc.gov/authorities/names/n85251214,http://n2t.net/ark:/99166/w6x646t1
http://id.loc.gov/authorities/names/n85801682,http://n2t.net/ark:/99166/w6ht3cw3
http://id.loc.gov/authorities/names/no00015471,http://n2t.net/ark:/99166/w6m44x3t
http://id.loc.gov/authorities/names/n50075855,http://n2t.net/ark:/99166/w6db8c7q
http://id.loc.gov/authorities/names/nr93035546,http://n2t.net/ark:/99166/w6dj9j94
http://id.loc.gov/authorities/names/n80079937,http://n2t.net/ark:/99166/w6nc6608
http://id.loc.gov/authorities/names/n85151611,http://n2t.net/ark:/99166/w6bv89f4
http://id.loc.gov/authorities/names/no96051003,http://n2t.net/ark:/99166/w69k4wvz
http://id.loc.gov/authorities/names/n2001079248,http://n2t.net/ark:/99166/w66m4mcs
http://id.loc.gov/authorities/names/nr2001022983,http://n2t.net/ark:/99166/w6d01z0h
http://id.loc.gov/authorities/names/n2003074221,http://n2t.net/ark:/99166/w69g96h2
http://id.loc.gov/authorities/names/n2009160516,http://n2t.net/ark:/99166/w67p97bp
http://id.loc.gov/authorities/names/n85273365,http://n2t.net/ark:/99166/w6wh326q
http://id.loc.gov/authorities/names/no94024758,http://n2t.net/ark:/99166/w6862hqr
http://id.loc.gov/authorities/names/n86114557,http://n2t.net/ark:/99166/w6mp5g74
http://id.loc.gov/authorities/names/no88002191,http://n2t.net/ark:/99166/w6vh5q1s
http://id.loc.gov/authorities/names/n87836200,http://n2t.net/ark:/99166/w6n87b5h
http://id.loc.gov/authorities/names/n50024509,http://n2t.net/ark:/99166/w6gb298p
http://id.loc.gov/authorities/names/n80050359,http://n2t.net/ark:/99166/w6zw1knd
http://id.loc.gov/authorities/names/n85353848,http://n2t.net/ark:/99166/w6pv6njz
http://id.loc.gov/authorities/names/n88202400,http://n2t.net/ark:/99166/w6125rd6
http://id.loc.gov/authorities/names/n96802378,http://n2t.net/ark:/99166/w6wn44mp
http://id.loc.gov/authorities/names/n88030646,http://n2t.net/ark:/99166/w6kk9nxb
http://id.loc.gov/authorities/names/n86070574,http://n2t.net/ark:/99166/w6mp56pn
http://id.loc.gov/authorities/names/nr90026060,http://n2t.net/ark:/99166/w6zh6xfz
